CountryIndex,Country,Ranking,Year,Score,Antidiscrimination_Legislation,Marriage_or_Civil Partnership,Adoption_Allowed,LGBT_Marketing, Equal_Age_of Consent,Religious_Influence,HIV_Travel_Restrictions,AntiGay_Laws,Homosexuality_Illegal,Pride_Banned,Locals_Hostile,Prosecution,Murders,Death_Sentence,Trans_Gender_Rights,Intersex_3rd_Option,Conversion_Therapy,GDP,Safe,Unsafe
1,Afghanistan,183,2015,61,5,5,5,5,5,3,5,4,4,5,3,5,3,4,,,,19998156214,0,1
1,Afghanistan,183,2016,61,5,5,5,5,5,3,5,4,4,5,3,5,3,4,,,,18019558182,0,1
1,Afghanistan,183,2017,61,5,5,5,5,5,3,5,4,4,5,3,5,3,4,,,,18896352022,0,1
1,Afghanistan,187,2018,56,5,5,5,,5,3,5,4,4,5,3,5,3,4,4,,,18418848300,0,1
1,Afghanistan,190,2019,55,5,5,5,,5,3,5,4,4,5,3,4,3,4,4,,,18904490263,0,1
1,Afghanistan,195,2020,58,5,4,5,5,4,3,5,4,4,5,3,4,3,4,4,4,4,20143442151,0,1
1,Afghanistan,195,2021,59,5,4,5,5,5,3,5,4,4,5,3,4,3,4,4,4,4,14786861638,0,1
2,Albania,88,2012,67,5,5,5,5,5,4,5,5,5,5,3,5,5,5,,,,12319830437,0,1
2,Albania,48,2013,70,7,5,5,5,6,4,5,5,5,5,3,5,5,5,,,,12776220507,1,1
2,Albania,49,2014,70,7,5,5,5,6,4,5,5,5,5,3,5,5,5,,,,13228147516,1,1
2,Albania,55,2015,70,7,5,5,5,6,4,5,5,5,5,3,5,5,5,,,,11386850130,1,1
2,Albania,61,2016,70,7,5,5,5,6,4,5,5,5,5,3,5,5,5,,,,11861199831,1,1
2,Albania,62,2017,70,7,5,5,5,6,4,5,5,5,5,3,5,5,5,,,,13019689337,1,1
2,Albania,80,2018,65,7,5,5,,6,4,5,5,5,5,3,5,5,5,4,,,15156432310,0,1
2,Albania,68,2019,66,7,5,5,,6,4,5,5,5,5,4,5,5,5,4,,,15401830754,0,1
2,Albania,78,2020,69,7,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,4,15131866271,1,1
2,Albania,60,2021,69,7,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,6,18255787479,1,1
3,Algeria,183,2015,61,5,5,5,5,5,3,5,4,4,5,3,4,3,5,,,,1.66E+11,0,1
3,Algeria,131,2020,64,5,4,5,5,4,3,5,4,4,5,5,5,5,5,4,4,4,1.45E+11,0,1
3,Algeria,132,2021,64,5,4,5,5,5,3,5,4,4,5,5,4,5,5,4,4,4,1.63E+11,0,1
4,Andorra,29,2012,72,7,6,5,5,6,5,3,5,5,5,5,5,5,5,,,,3188808943,1,1
4,Andorra,30,2013,72,7,6,5,5,6,5,3,5,5,5,5,5,5,5,,,,3193704343,1,1
4,Andorra,30,2014,72,7,6,5,5,6,5,3,5,5,5,5,5,5,5,,,,3271808157,1,1
4,Andorra,22,2015,74,7,6,5,5,6,5,5,5,5,5,5,5,5,5,,,,2789870188,1,1
4,Andorra,10,2016,77,8,6,7,5,6,5,5,5,5,5,5,5,5,5,,,,2896679212,1,1
4,Andorra,12,2017,77,8,6,7,5,6,5,5,5,5,5,5,5,5,5,,,,3000180750,1,1
4,Andorra,27,2018,72,8,6,7,,6,5,5,5,5,5,5,5,5,5,4,,,3218316013,1,1
4,Andorra,28,2019,72,8,6,7,,6,5,5,5,5,5,5,5,5,5,4,,,3155065488,1,1
4,Andorra,34,2020,76,8,6,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2891022273,1,1
4,Andorra,40,2021,75,8,6,7,5,5,5,5,5,4,5,5,5,5,5,4,4,4,3330281524,1,1
5,Angola,104,2015,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,87219300385,0,1
5,Angola,109,2016,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,49840491178,0,1
5,Angola,123,2017,65,5,5,5,5,5,4,5,4,4,5,4,4,5,5,,,,68972769396,0,1
5,Angola,133,2018,60,5,5,5,,5,4,5,4,4,5,4,4,5,5,4,,,77792944472,0,1
5,Angola,104,2019,63,5,5,5,,5,4,5,5,5,5,4,5,5,5,4,,,69309110146,0,1
5,Angola,66,2020,70,7,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,53619073505,1,1
5,Angola,66,2021,69,6,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,67404287260,0,1
6,Antigua & Barbuda,104,2015,66,5,5,5,5,5,5,5,4,4,5,4,4,5,5,,,,1336692593,0,1
6,Antigua & Barbuda,109,2016,66,5,5,5,5,5,5,5,4,4,5,4,4,5,5,,,,1436585185,0,1
6,Antigua & Barbuda,112,2017,66,5,5,5,5,5,5,5,4,4,5,4,4,5,5,,,,1467977778,0,1
6,Antigua & Barbuda,121,2018,61,5,5,5,,5,5,5,4,4,5,4,4,5,5,4,,,1605944444,0,1
6,Antigua & Barbuda,122,2019,61,5,5,5,,5,5,5,4,4,5,4,4,5,5,4,,,1687533333,0,1
6,Antigua & Barbuda,131,2020,64,5,4,5,5,4,5,5,4,4,5,4,4,5,5,4,4,4,1370281481,0,1
6,Antigua & Barbuda,107,2021,67,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,1471125926,0,1
7,Argentina,14,2012,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,5.46E+11,1,1
7,Argentina,15,2013,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,5.52E+11,1,1
7,Argentina,16,2014,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,5.26E+11,1,1
7,Argentina,22,2015,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,5.95E+11,1,1
7,Argentina,30,2016,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,5.58E+11,1,1
7,Argentina,34,2017,74,5,7,7,6,6,4,5,5,5,5,4,5,5,5,,,,6.44E+11,1,1
7,Argentina,34,2018,68,6,7,7,,6,4,5,5,5,5,4,5,4,5,7,,,5.25E+11,1,1
7,Argentina,28,2019,69,6,7,7,,6,4,5,5,5,5,5,5,4,5,7,,,4.48E+11,1,1
7,Argentina,5,2020,75,6,7,7,7,5,4,5,5,5,5,5,5,4,5,7,6,6,3.86E+11,1,1
7,Argentina,22,2021,74,6,7,7,6,5,4,5,5,5,5,5,5,4,5,7,4,6,4.87E+11,1,1
8,Armenia,59,2012,69,5,5,5,5,5,5,4,5,5,5,5,5,5,5,,,,10619320049,0,1
8,Armenia,74,2013,68,5,5,5,5,5,5,4,5,5,5,4,5,5,5,,,,11121465767,0,1
8,Armenia,76,2014,68,5,5,5,5,5,5,4,5,5,5,4,5,5,5,,,,11609512940,0,1
8,Armenia,77,2015,69,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,10553337673,0,1
8,Armenia,90,2016,68,5,5,5,5,5,5,5,4,5,5,4,5,5,5,,,,10546135160,0,1
8,Armenia,89,2017,68,5,5,5,5,5,5,5,4,5,5,4,5,5,5,,,,11527458566,0,1
8,Armenia,94,2018,64,6,5,5,,5,5,5,4,5,5,4,5,5,5,4,,,12457941907,0,1
8,Armenia,95,2019,64,6,5,5,,5,5,5,4,5,5,4,5,5,5,4,,,13619291361,0,1
8,Armenia,92,2020,68,6,4,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,12641697523,0,1
8,Armenia,81,2021,68,5,4,5,5,5,6,5,4,5,5,4,5,5,5,5,4,4,13861409969,0,1
9,Aruba,38,2012,66,5,5,5,5,6,5,,5,5,5,5,5,5,5,,,,2615083799,1,1
9,Aruba,38,2013,66,5,5,5,5,6,5,,5,5,5,5,5,5,5,,,,2727932961,1,1
9,Aruba,40,2014,66,5,5,5,5,6,5,,5,5,5,5,5,5,5,,,,2791061453,1,1
9,Aruba,43,2015,71,5,5,5,5,6,5,5,5,5,5,5,5,5,5,,,,2963128492,1,1
9,Aruba,49,2016,71,5,5,5,5,6,5,5,5,5,5,5,5,5,5,,,,2983798883,1,1
9,Aruba,49,2017,71,5,5,5,5,6,5,5,5,5,5,5,5,5,5,,,,3092178771,1,1
9,Aruba,67,2018,66,5,5,5,,6,5,5,5,5,5,5,5,5,5,4,,,3202234637,0,1
9,Aruba,68,2019,66,5,5,5,,6,5,5,5,5,5,5,5,5,5,4,,,3368970253,0,1
9,Aruba,78,2020,69,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2610038938,0,1
9,Aruba,60,2021,70,6,6,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,3126019399,1,1
10,Australia,21,2012,73,6,6,6,6,6,5,3,5,5,5,5,5,5,5,,,,1.55E+12,1,1
10,Australia,21,2013,73,6,6,6,6,6,5,3,5,5,5,5,5,5,5,,,,1.58E+12,1,1
10,Australia,21,2014,73,6,6,6,6,6,5,3,5,5,5,5,5,5,5,,,,1.47E+12,1,1
10,Australia,22,2015,74,6,5,6,6,6,5,5,5,5,5,5,5,5,5,,,,1.35E+12,1,1
10,Australia,37,2016,73,6,5,6,6,6,5,4,5,5,5,5,5,5,5,,,,1.21E+12,1,1
10,Australia,37,2017,73,6,5,6,6,6,5,4,5,5,5,5,5,5,5,,,,1.33E+12,1,1
10,Australia,27,2018,69,6,7,6,,6,5,4,5,5,5,5,5,5,5,7,,,1.43E+12,0,1
10,Australia,28,2019,69,6,7,6,,6,5,4,5,5,5,5,5,5,5,7,,,1.39E+12,0,1
10,Australia,18,2020,73,6,7,6,5,5,5,4,5,5,5,5,5,5,5,7,6,5,1.33E+12,1,1
10,Australia,10,2021,76,7,7,7,5,5,5,4,5,5,5,6,5,5,5,7,6,5,1.55E+12,1,0
11,Austria,14,2012,74,6,6,5,6,6,5,5,5,5,5,5,5,5,5,,,,4.09E+11,1,1
11,Austria,15,2013,74,6,6,5,6,6,5,5,5,5,5,5,5,5,5,,,,4.30E+11,1,1
11,Austria,13,2014,75,6,6,6,6,6,5,5,5,5,5,5,5,5,5,,,,4.43E+11,1,1
11,Austria,22,2015,74,6,6,5,6,6,5,5,5,5,5,5,5,5,5,,,,3.82E+11,1,1
11,Austria,18,2016,76,6,6,7,6,6,5,5,5,5,5,5,5,5,5,,,,3.96E+11,1,1
11,Austria,12,2017,77,7,6,7,6,6,5,5,5,5,5,5,5,5,5,,,,4.17E+11,1,1
11,Austria,15,2018,71,7,6,7,,6,5,5,5,5,5,5,5,5,5,7,,,4.55E+11,1,1
11,Austria,4,2019,72,7,7,7,,6,5,5,5,5,5,5,5,5,5,7,,,4.45E+11,1,1
11,Austria,4,2020,79,7,7,7,7,5,5,5,5,5,6,5,5,5,5,7,6,4,4.35E+11,1,0
11,Austria,5,2021,78,7,7,7,7,5,5,5,5,5,5,5,5,5,5,7,6,4,4.80E+11,1,1
12,Azerbaijan,59,2012,68,5,5,5,5,5,5,5,5,5,4,4,5,5,5,,,,69683935845,0,1
12,Azerbaijan,60,2013,68,5,5,5,5,5,5,5,5,5,4,4,5,5,5,,,,74164435946,0,1
12,Azerbaijan,60,2014,68,5,5,5,5,5,5,5,5,5,4,4,5,5,5,,,,75244294275,0,1
12,Azerbaijan,77,2015,69,5,5,5,5,6,5,5,5,5,4,4,5,5,5,,,,53074370486,1,1
12,Azerbaijan,90,2016,68,5,5,5,5,6,5,5,4,5,4,4,5,5,5,,,,37867518957,1,1
12,Azerbaijan,89,2017,68,5,5,5,5,6,5,5,4,5,4,4,5,5,5,,,,40865558912,1,1
12,Azerbaijan,111,2018,61,5,5,5,,6,4,5,4,5,4,4,4,5,5,5,,,47112941176,0,1
12,Azerbaijan,122,2019,60,5,5,5,,6,4,5,4,5,4,4,3,5,5,5,,,48174235294,0,1
12,Azerbaijan,131,2020,63,5,4,5,5,5,4,5,4,5,4,4,3,5,5,5,4,4,42693000000,0,1
12,Azerbaijan,150,2021,63,5,4,5,5,5,4,5,4,5,4,4,3,5,5,4,4,4,54622176471,0,1
13,Bahamas,125,2012,64,5,5,5,5,6,4,3,4,5,5,4,5,3,5,,,,10720500000,1,1
13,Bahamas,125,2013,64,5,5,5,5,6,4,3,4,5,5,4,5,3,5,,,,10562800000,1,1
13,Bahamas,125,2014,64,5,5,5,5,6,4,3,4,5,5,4,5,3,5,,,,11176100000,1,1
13,Bahamas,141,2015,64,5,5,5,5,5,4,5,4,5,5,3,5,3,5,,,,11861900000,0,1
13,Bahamas,142,2016,64,5,5,5,5,5,4,5,4,5,5,3,5,3,5,,,,11834600000,0,1
13,Bahamas,139,2017,64,5,5,5,5,5,4,5,4,5,5,3,5,3,5,,,,12357600000,0,1
13,Bahamas,121,2018,59,5,5,5,,5,4,5,4,5,5,3,5,3,5,6,,,12755800000,0,1
13,Bahamas,122,2019,59,5,5,5,,5,4,5,4,5,5,3,5,3,5,6,,,13192800000,0,1
13,Bahamas,131,2020,62,5,4,5,5,4,4,5,4,5,5,3,5,3,5,6,4,4,9699500000,0,1
13,Bahamas,132,2021,62,5,4,5,5,4,4,5,4,5,5,3,5,3,5,6,4,4,11208600000,0,1
14,Bahrain,127,2012,63,5,5,5,5,5,3,3,5,5,5,3,4,5,5,,,,30749308511,0,1
14,Bahrain,127,2013,63,5,5,5,5,5,3,3,5,5,5,3,4,5,5,,,,32539468085,0,1
14,Bahrain,127,2014,63,5,5,5,5,5,3,3,5,5,5,3,4,5,5,,,,33387712766,0,1
14,Bahrain,122,2015,65,5,5,5,5,5,3,5,5,5,5,3,4,5,5,,,,31050638298,0,1
14,Bahrain,125,2016,65,5,5,5,5,5,3,5,5,5,5,3,4,5,5,,,,32234973404,0,1
14,Bahrain,123,2017,65,5,5,5,5,5,3,5,5,5,5,3,4,5,5,,,,35473776596,0,1
14,Bahrain,133,2018,60,5,5,5,,5,3,5,5,5,5,3,4,5,5,4,,,37802005319,0,1
14,Bahrain,137,2019,60,5,5,5,,5,3,5,5,5,5,3,4,5,5,4,,,38653318085,0,1
14,Bahrain,131,2020,64,5,4,5,5,5,3,5,5,5,5,3,4,5,5,4,4,4,34723357447,0,1
14,Bahrain,132,2021,63,5,4,5,5,5,3,4,5,5,5,3,4,5,5,5,4,4,38868663032,0,1
15,Bangladesh,141,2015,64,5,5,5,5,5,3,5,4,4,5,3,5,5,5,,,,1.95E+11,0,1
15,Bangladesh,142,2016,64,5,5,5,5,5,3,5,4,4,5,3,5,5,5,,,,2.65E+11,0,1
15,Bangladesh,175,2017,62,5,5,5,5,5,3,5,4,4,5,3,5,3,5,,,,2.94E+11,0,1
15,Bangladesh,143,2018,57,5,5,5,,5,3,5,4,4,5,3,4,4,5,6,,,3.21E+11,0,1
15,Bangladesh,146,2019,57,5,5,5,,5,3,5,4,4,5,3,4,4,5,6,,,3.51E+11,0,1
15,Bangladesh,131,2020,60,5,4,5,5,4,3,5,4,4,5,3,4,4,5,6,6,4,3.74E+11,0,1
15,Bangladesh,126,2021,61,5,4,5,5,5,3,5,4,4,5,3,4,4,5,6,6,4,4.16E+11,0,1
16,Barbados,104,2012,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4610096000,0,1
16,Barbados,105,2013,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4677248300,0,1
16,Barbados,105,2014,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4696344350,0,1
16,Barbados,104,2015,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4724691200,0,1
16,Barbados,109,2016,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4832811750,0,1
16,Barbados,112,2017,66,5,5,5,5,5,4,5,4,4,5,4,5,5,5,,,,4981588900,0,1
16,Barbados,121,2018,61,5,5,5,,5,4,5,4,4,5,4,5,5,5,4,,,5097283200,0,1
16,Barbados,122,2019,61,5,5,5,,5,4,5,4,4,5,4,5,5,5,4,,,5324250000,0,1
16,Barbados,131,2020,64,5,4,5,5,4,4,5,4,4,5,4,5,5,5,4,4,4,4671800000,0,1
